epoch,loss,val_loss
0,1024.635037808805,722.6432543945313
1,697.7731818121832,712.9140649414062
2,691.3022889833193,704.4966284179687
3,673.8215051599451,678.7963500976563
4,623.4852014490076,627.5742358398437
5,549.1934088629645,555.2150915527344
6,484.5784928605363,505.47040283203125
7,436.655255291913,470.6914489746094
8,404.4510118639147,452.7114624023437
9,386.19788092535896,438.9269274902344
10,365.80849642366974,419.0643737792969
11,347.74853763064823,409.44057006835936
12,334.959312232765,396.0042138671875
13,321.2827997980891,398.26337890625
14,309.89952788481844,379.11938232421875
15,300.6257204622836,375.5928161621094
16,288.7189660974451,367.90508544921875
17,279.5462836188239,367.9631640625
18,272.6533953692462,368.02898071289064
19,269.65232807881125,363.8266320800781
20,259.2542782345334,359.60581298828123
21,251.05480173471813,355.8486901855469
22,244.5694860509924,352.4406005859375
23,238.58303008208404,351.70696044921874
24,229.35147589606208,355.10112548828124
25,224.8258897936022,352.95537353515624
26,220.07868545119828,352.2570227050781
27,213.75262698611698,347.93573120117185
28,204.49924365894213,346.3876940917969
29,199.24483015730576,345.75536254882815
30,197.44968517406568,351.81307495117187
31,190.6107251966322,344.1428173828125
32,182.92146486849398,346.51881530761716
33,180.43285039953284,350.3627941894531
