epoch,loss,val_loss
0,309.09955226353236,305.23626708984375
1,285.58540584019255,296.4030901038128
2,273.39078935895645,284.6159123959749
3,261.93953486851285,277.5501937866211
4,252.18035779680525,270.54426276165503
5,241.53562534877233,261.43972247579825
6,231.79823063441685,256.5919836293096
7,223.57403608049665,250.84713214376697
8,215.83611145019532,247.38798887833306
9,210.88306318010603,244.8971129707668
10,203.45287235804966,243.9636406276537
11,198.4002977643694,240.17782659116
12,192.19351697649276,238.9644778707753
13,186.62781088692802,237.13310042671534
14,184.10423932756697,235.0066097093665
15,177.19236079624721,235.42841538139012
16,181.95343388148717,238.7607710465141
17,171.76499764578682,231.55040608281675
18,164.17063718523298,233.73311880360478
19,160.01192190987723,232.48500525433084
20,156.17286856515068,235.00763171652088
21,153.85422494070872,238.2304856673531
22,150.9769784109933,239.7351011193317
23,148.23871329171317,236.9130862692128
24,142.9210453578404,235.84300099248472
25,138.4765679495675,238.58612790315047
26,135.95318167550224,238.22239651887313
27,135.82168415614538,242.77215211287788
28,130.95210636683873,241.1457300600798
29,125.8879156930106,240.70588418711787
30,124.76937506539481,242.59390889043394
31,119.7757836478097,244.90624270231828
32,122.19021606445312,249.61521347709325
